,epoch,loss,val_loss,accuracy,val_accuracy,learning_rate,batch_size
320,1,0.3718,0.1841,0.8903,0.9437,0.07,64
321,2,0.256,0.1564,0.9247,0.9536,0.07,64
322,3,0.2028,0.1391,0.9404,0.9584,0.07,64
323,4,0.1704,0.1276,0.95,0.9617,0.07,64
324,5,0.1477,0.1192,0.9567,0.9642,0.07,64
325,6,0.1308,0.1119,0.9619,0.9663,0.07,64
326,7,0.1174,0.1062,0.9659,0.968,0.07,64
327,8,0.1064,0.1018,0.9693,0.9694,0.07,64
328,9,0.0974,0.0984,0.9721,0.9703,0.07,64
329,10,0.0897,0.0956,0.9745,0.9712,0.07,64
330,11,0.083,0.0929,0.9766,0.972,0.07,64
331,12,0.0773,0.0906,0.9784,0.9726,0.07,64
332,13,0.0722,0.0886,0.9799,0.9732,0.07,64
333,14,0.0678,0.087,0.9813,0.9738,0.07,64
334,15,0.0638,0.0855,0.9825,0.9742,0.07,64
335,16,0.0603,0.0843,0.9836,0.9746,0.07,64
336,17,0.0572,0.0832,0.9845,0.975,0.07,64
337,18,0.0543,0.0822,0.9854,0.9754,0.07,64
338,19,0.0517,0.0813,0.9861,0.9757,0.07,64
339,20,0.0494,0.0805,0.9868,0.976,0.07,64
340,21,0.0472,0.0798,0.9874,0.9762,0.07,64
341,22,0.0453,0.0792,0.988,0.9764,0.07,64
342,23,0.0435,0.0787,0.9885,0.9767,0.07,64
343,24,0.0418,0.0782,0.989,0.9769,0.07,64
344,25,0.0402,0.0778,0.9894,0.977,0.07,64
345,26,0.0388,0.0774,0.9898,0.9772,0.07,64
346,27,0.0375,0.077,0.9902,0.9774,0.07,64
347,28,0.0362,0.0766,0.9906,0.9775,0.07,64
348,29,0.0351,0.0763,0.9909,0.9776,0.07,64
349,30,0.034,0.076,0.9912,0.9777,0.07,64
350,31,0.033,0.0758,0.9915,0.9778,0.07,64
351,32,0.032,0.0756,0.9917,0.9779,0.07,64
352,33,0.0311,0.0754,0.992,0.978,0.07,64
353,34,0.0302,0.0752,0.9922,0.9782,0.07,64
354,35,0.0294,0.075,0.9924,0.9782,0.07,64
355,36,0.0287,0.0749,0.9926,0.9783,0.07,64
356,37,0.0279,0.0747,0.9928,0.9784,0.07,64
357,38,0.0272,0.0746,0.993,0.9785,0.07,64
358,39,0.0266,0.0744,0.9932,0.9786,0.07,64
359,40,0.026,0.0743,0.9934,0.9786,0.07,64
360,41,0.0254,0.0742,0.9935,0.9787,0.07,64
361,42,0.0248,0.0741,0.9937,0.9788,0.07,64
362,43,0.0243,0.074,0.9938,0.9788,0.07,64
363,44,0.0237,0.0739,0.994,0.9789,0.07,64
364,45,0.0232,0.0739,0.9941,0.9789,0.07,64
365,46,0.0228,0.0738,0.9942,0.979,0.07,64
366,47,0.0223,0.0737,0.9944,0.979,0.07,64
367,48,0.0219,0.0737,0.9945,0.9791,0.07,64
368,49,0.0214,0.0736,0.9946,0.9791,0.07,64
369,50,0.021,0.0736,0.9947,0.9792,0.07,64
370,51,0.0206,0.0735,0.9948,0.9792,0.07,64
371,52,0.0203,0.0735,0.9949,0.9793,0.07,64
372,53,0.0199,0.0735,0.995,0.9793,0.07,64
373,54,0.0196,0.0734,0.9951,0.9793,0.07,64
374,55,0.0192,0.0734,0.9952,0.9794,0.07,64
375,56,0.0189,0.0734,0.9953,0.9794,0.07,64
376,57,0.0186,0.0733,0.9953,0.9794,0.07,64
377,58,0.0183,0.0733,0.9954,0.9795,0.07,64
378,59,0.018,0.0733,0.9955,0.9795,0.07,64
379,60,0.0177,0.0733,0.9956,0.9795,0.07,64
380,61,0.0174,0.0733,0.9956,0.9796,0.07,64
381,62,0.0172,0.0733,0.9957,0.9796,0.07,64
382,63,0.0169,0.0733,0.9958,0.9796,0.07,64
383,64,0.0166,0.0733,0.9958,0.9797,0.07,64
384,65,0.0164,0.0733,0.9959,0.9797,0.07,64
385,66,0.0162,0.0733,0.996,0.9797,0.07,64
386,67,0.0159,0.0733,0.996,0.9797,0.07,64
387,68,0.0157,0.0733,0.9961,0.9798,0.07,64
388,69,0.0155,0.0733,0.9961,0.9798,0.07,64
389,70,0.0153,0.0733,0.9962,0.9798,0.07,64
390,71,0.0151,0.0733,0.9962,0.9798,0.07,64
391,72,0.0149,0.0733,0.9963,0.9799,0.07,64
392,73,0.0147,0.0733,0.9964,0.9799,0.07,64
393,74,0.0145,0.0733,0.9964,0.9799,0.07,64
394,75,0.0143,0.0733,0.9964,0.9799,0.07,64
395,76,0.0141,0.0733,0.9965,0.9799,0.07,64
396,77,0.014,0.0734,0.9965,0.98,0.07,64
397,78,0.0138,0.0734,0.9966,0.98,0.07,64
398,79,0.0136,0.0734,0.9966,0.98,0.07,64
399,80,0.0135,0.0734,0.9967,0.98,0.07,64
